smiles,logS
[O-]c1onc(-c2ccccc2)c1N=Nc1c(F)cccc1Cl,-5.3
[O-]c1noc2cc(Cl)ccc12,-3.82
[O-][n+]1nc(NCCN2CCCCC2)[n+]([O-])c2cc(Cl)ccc21,-2.49485
[O-][n+]1nc(-n2ccnc2)nc2ccc(Cl)cc21,-3.63
[O-][n+]1cc(-c2ccc(Cl)cc2)[n+]([O-])c2c1CCC2,-3.82
[O-][n+]1c2c(nn1-c1ccc(Cl)c(Cl)c1)-c1nonc1CC2,-6.21
[O-][S+](Cc1ccc(Cl)cc1)c1cc2nc(C3CCCCC3)[nH]c2cc1Cl,-4.69897
[O-][S+](CCCl)CC[S+]([O-])CCCl,-2.04
[O-][N+]([O-])=Cc1cccc[n+]1Cc1ccc(Cl)cc1,-3.92
[O-][N+](=Cc1ccco1)c1ccc(Cl)cc1,-3.83
[O-]/[N+](=C\c1ccco1)c1ccc(Cl)cc1,-3.83
[NH3+]CCc1nnc(SCc2ccccc2Cl)o1,-3.77
[NH3+]CCc1nnc(SCc2c(Cl)cccc2Cl)o1,-3.89
[NH3+]CCc1nnc(SCC(=O)c2ccc(Cl)cc2)o1,-3.9
[NH3+]CCc1nnc(SCC(=O)Nc2cccc(Cl)c2)o1,-3.83
[NH3+]CCSc1c(-c2ccc(Cl)cc2)[nH]c2ccccc12,-3.83
[NH3+]CCSC1CC(=O)N(c2ccc(F)cc2)C1=O,-3.96
[NH3+]CCSC1CC(=O)N(c2ccc(Cl)c(Cl)c2)C1=O,-3.99
[NH3+]CCSC1CC(=O)N(Cc2ccc(F)cc2)C1=O,-3.87
[NH3+]CCC(=O)N1c2ccccc2Sc2ccc(Cl)cc21,-3.96
[NH3+]CC12CC3CC(C1)CC(c1ccc(Cl)cc1)(C3)C2,-3.77
[NH3+]CC(c1ccccc1Cl)c1c[nH]c2ccccc12,-3.83
[NH3+]CC(=O)Nc1ccc(Br)cc1,-3.92
[NH3+]C1CCN(c2c(F)cc3c(=O)c(C(=O)[O-])cn(C4CC4)c3c2Cl)C1,-3.82
[NH3+]C(Cc1nc2ccccc2[nH]1)c1ccc(Cl)cc1,-3.86
[NH3+]C(Cc1ccc(OC(F)F)cc1)C(=O)[O-],-3.85
[NH3+]C(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-],-4.76
[NH3+]C(Cc1cc(I)c(O)c(I)c1)C(=O)[O-],-3.82
[NH3+]C(Cc1cc(Br)c(O)c(Br)c1)C(=O)[O-],-3.82
[NH3+]C(CSCc1ccccc1Cl)C(=O)[O-],-3.82
[NH3+]C(CSCc1cccc(Br)c1)C(=O)[O-],-3.82
[NH3+]C(CCl)C(=O)[O-],-3.71
[NH3+]C(C(=O)[O-])C(c1ccccc1)C(F)F,-3.86
[NH2+]=C1c2ccccc2CN1c1ccc(F)c([N+](=O)[O-])c1,-3.83
[NH2+]=C1c2ccccc2CN1NC(=O)c1ccc(Br)o1,-3.92
[NH2+]=C(Nc1ccc(Cl)cc1)c1ccccc1,-3.83
[NH2+]=C(Nc1ccc(Br)cc1)c1ccccc1,-3.83
[NH2+]=C(N[N-]C(=O)Nc1ccc(Cl)cc1)c1ccccn1,-5.12
[NH2+]=C(NNS(=O)(=O)c1ccccc1C(F)(F)F)c1ccccn1,-4.14
[NH2+]=C(NNC(=O)c1cccc(F)c1)c1cc2ccccc2oc1=O,-5.28
[NH2+]=C(NNC(=O)c1ccc(Cl)cc1)c1cnccn1,-4.07
[NH2+]=C(NN=Cc1ccc(F)cc1)NN=Cc1ccc(F)cc1,-4.98
[N-]=[N+]=CC(=O)C(O)(c1ccccc1)C(Cl)c1ccccc1,-6
[2H]C([2H])(c1cc(Cl)ccc1NCc1ccc(S(C)(=O)=O)cc1)N1CCN(C(=O)CNC(=O)C2CC23CCC(F)(F)CC3)CC1,-5.39794
[2H]C([2H])(c1cc(Cl)ccc1N)N1CCN(C(=O)CNC(=O)CC2CCC(F)(F)CC2)CC1,-4.03152
[2H]C([2H])(c1cc(Cl)ccc1N)N1CCN(C(=O)CNC(=O)C2CC23CCC(F)(F)CC3)CC1,-4.10791
[2H]C([2H])([2H])Nc1nc(-c2cc(C(=O)N3CCN(Cc4ccc(Cl)cc4)CC3)c(Cl)cn2)cs1,-4.72125
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ncc(-c2cc(NC(C)=O)nn2C(C)C)cc1N1CC2CC2C1,-4.02974
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cnn(C)c2C(C)C)cc1OCC(F)(F)F,-6.68745
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2CC2CC2)cc1N1CC2CC2C1,-4.71587
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2CC(C)(C)C)cc1N1CC2CC2C1,-5.83018
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C2CCCC2)cc1N1CC2CC2C1,-6.73164
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C2CCC2)cc1N1CC2CC2C1,-6.02122
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C(C)C2CC2)cc1N1CC2CC2C1,-6.03267
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C(C)C)cc1OCC(F)(F)F,-4.29286
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C(C)C)cc1N1CCCCC1,-5.5979
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C(C)C)cc1N1CCCC1,-4.62067
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C(C)C)cc1N1CC2CC2C1,-5.38792
