smiles,logS
c1nnc(-c2ccc3c(c2)OCO3)o1,-3.97
c1nc[nH]n1,1.00583
c1nc2nc3c(c(N4CC[NH2+]CC4)n2n1)CCCC3,-3.84
c1nc2nc3c(c(N4CCNCC4)n2n1)CCCC3,-3.83
c1nc2n(n1)C1=C(CCCC1)C1(CCCCC1)N2,-4.91
c1nc2ccc(Cc3ccc4nc[nH]c4c3)cc2[nH]1,-3.86
c1nc2cc(Cc3ccc4[nH]cnc4c3)ccc2[nH]1,-3.86
c1nc(S[C@H]2CC[C@H](N3CCOCC3)CC2)c2c(C3CCOCC3)c[nH]c2n1,-5.30103
c1nc(Nc2ccc(N3CCOCC3)cc2)c2ccsc2n1,-3.82
c1nc(NCC2CCOC2)c2cc(-c3ccc4c(c3)OCO4)ccc2n1,-3.84375
c1csc(C[NH2+]Cc2ccncc2)c1,-3.75
c1csc(C[NH+]2CC[NH2+]CC2)c1,-3.68
c1csc(-c2noc(C[NH+]3CCc4sccc4C3)n2)c1,-4.05
c1csc(-c2noc(C[NH+]3CC[NH+]4CCCC4C3)n2)c1,-3.83
c1csc(-c2noc(C[NH+]3CCOCC3)n2)c1,-3.84
c1csc(-c2noc(CN3CCc4sccc4C3)n2)c1,-4.05
c1csc(-c2noc(CN3CCOCC3)n2)c1,-3.84
c1csc(-c2noc(CN3CCN4CCCC4C3)n2)c1,-3.82
c1csc(-c2nnc3sc(-c4cnccn4)nn23)c1,-4.52288
c1csc(-c2nnc(Cc3cccc4ccccc34)o2)c1,-5.46592
c1csc(-c2nnc(Cc3cccc4c3OCCO4)o2)c1,-3.59112
c1csc(-c2nnc(Cc3ccc4ccccc4c3)o2)c1,-5.46592
c1csc(-c2nnc(COc3ncnc4sccc34)o2)c1,-3.82
c1csc(-c2nnc(CN3Cc4ccccc4C3)o2)c1,-4.37315
c1csc(-c2nnc(CN3CCc4ccccc4C3)o2)c1,-3.74092
c1csc(-c2nnc(CN3CCc4ccccc43)o2)c1,-3.87255
c1csc(-c2nnc(CN3CCOc4ccccc43)o2)c1,-3.95767
c1csc(-c2nnc(CN3CCCc4ccccc43)o2)c1,-4.77435
c1csc(-c2nc3ccccc3s2)c1,-5.49
c1csc(-c2nc(N3CCOCC3)c3ccccc3n2)c1,-5.17
c1csc(-c2nc(N3CCCCC3)no2)c1,-4.79
c1csc(-c2nc(C[NH+]3CCSCC3)cs2)c1,-3.94
c1csc(-c2nc(CN3CCSCC3)cs2)c1,-3.94
c1csc(-c2nc(-c3ccc(-c4ccon4)s3)no2)c1,-5.78
c1csc(-c2cn3ccc4ccccc4c3n2)c1,-4.37
c1csc(-c2cc(N3CCCCC3)c3ccccc3n2)c1,-5.43
c1csc(-c2cc(N3CCCCC3)c3ccccc3[nH+]2)c1,-5.43
c1coc(C[NH2+]CCc2c[nH]c3ccccc23)c1,-3.8
c1coc(C[NH+]2CNc3nc4ccccc4n3C2)c1,-3.86
c1coc(CSc2ncnc3c2oc2ccccc23)c1,-5.5
c1coc(CNc2ncnc3[nH]cnc23)c1,-3.95
c1coc(CNc2nc3ccccc3s2)c1,-3.85
